user_name,country,review_title,review_description,designation,points,price,province,region_1,region_2,winery,variety
@paulgwine ,US,Brittan Vineyards 2014 Gestalt Block Pinot Noir (McMinnville),"This black-fruited offering has the winery's signature stamp all over it, with a vein of herb and wet rock that slices through the aromas and into the palate. Tangy acids prop up the blackberry and black-cherry fruit, and suggest that this can age. Drink now through 2030 at least.",Gestalt Block,93,60.0,Oregon,McMinnville,Willamette Valley,Brittan Vineyards,Pinot Noir
@vboone,US,Mounts 2014 Estate Grown Cabernet Sauvignon (Dry Creek Valley),"This is a seductive wine, concentrated and full bodied and entirely big. Black cherry, chocolate and blackberry jam ride the palate with authority, as soft tannins wrap around the bold flavor.",Estate Grown,88,45.0,California,Dry Creek Valley,Sonoma,Mounts,Zinfandel
@paulgwine ,US,Novelty Hill 2009 Stillwater Creek Vineyard Cabernet Sauvignon (Columbia Valley (WA)),"Novelty Hill's estate-grown Cabernet Sauvignon displays notes of brambly berry and plenty of barrel spice. The sweet-tasting spice accent rolls into streaks of licorice, earth and herb on the peppery finish.",Stillwater Creek Vineyard,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Novelty Hill,Chardonnay
@vboone,US,Medlock Ames 2013 Heritage Merlot (Alexander Valley),"Made with 21% Cabernet Sauvignon, 4% Malbec and 1% Petit Verdot, this estate-grown wine is made in small lots and offers aromas of baked bread and red fruit from the get-go. The Cabernet shows its presence, and there's a wealth of bitter, leathery tannin offset by soft, approachable oak.",Heritage,87,50.0,California,Alexander Valley,Sonoma,Medlock Ames,Cabernet Sauvignon
@wawinereport,US,Canoe Ridge 2010 Estate Grown Merlot Block 8 Merlot (Columbia Valley (WA)),"This 100% varietal wine shows notes of raspberry and chocolate sprinkled with oak spices from time in 50% new French barrels. It's wound up tightly at present, packed to the brim with red fruit flavors and firm, slightly gritty tannins.",Estate Grown Merlot Block 8,91,58.0,Washington,Columbia Valley (WA),Columbia Valley,Canoe Ridge,Bordeaux-style Red Blend
@wawinereport,US,Reynvaan Family Vineyards 2014 Estate The Contender In the Rocks Vineyard Syrah (Walla Walla Valley (WA)),"Blended with 6% Marsanne, the aromas are light (considering the appellation and producer), bringing notes of herb, smoked meat, white pepper, mineral and earth. The flavors are tart and bright, creating a real sense of freshness and vibrancy.",Estate The Contender In the Rocks Vineyard,92,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Reynvaan Family Vineyards,Bordeaux-style Red Blend
@vboone,US,Beaulieu Vineyard 2013 Maestro Collection Cabernet Sauvignon (Oakville),"Bright cassis, strawberry and red currant flavors are on vivid display in this 100% varietal wine. Soft and easy to enjoy, it impresses with full-bodied accetnes of dusty cigar and mocha.",Maestro Collection,92,65.0,California,Oakville,Napa,Beaulieu Vineyard,Cabernet Sauvignon
@vboone,US,Kendall-Jackson 2012 Grand Reserve Cabernet Sauvignon (Sonoma County),"This is a well-crafted wine that's dense and delicious in juicy red fruit, black currant, licorice and nutmeg. With much of the fruit sourced from the Alexander Valley, this wine shows a managed level of ripeness and oak aging. Structured and lengthy on the finish, this is a nicely put-together package.",Grand Reserve,91,28.0,California,Sonoma County,Sonoma,Kendall-Jackson,Chardonnay
@wawinereport,US,Alexandria Nicole 2010 Wild One Estate Grown Cabernet Franc Destiny Ridge Vineyards Cabernet Franc (Horse Heaven Hills),"A lightly aromatic offering of Cabernet Franc with notes of cherry cola, medicine cabinet, and herbs. The palate leans heavily on the grainy tannic structure with the light fruit flavors accented by tart, fresh acidity",Wild One Estate Grown Cabernet Franc Destiny Ridge Vineyards,86,42.0,Washington,Horse Heaven Hills,Columbia Valley,Alexandria Nicole,Cabernet Sauvignon
@paulgwine ,US,Ayoub 2013 Thistle Vineyard Pinot Noir (Dundee Hills),"Bright, tart fruit conjures up fresh raspberries and cranberries, with potent acids and light hints of metal shavings and dried leaves. A lovely wisp of cinnamon toast elevates the finish.",Thistle Vineyard,91,48.0,Oregon,Dundee Hills,Willamette Valley,Ayoub,Pinot Noir
@vboone,US,Williams Selyem 2012 Eastside Road Neighbors Pinot Noir (Russian River Valley),"Since this is the winery's largest production Pinot, but still under 1,000 cases, buyers actually have a chance of finding this full-bodied beauty. Sly on the nose, it is tense in toasty oak and chewy cherry, venturing into black cherry, blackberry and root beer. It's amply structured and robust, yet with silky tannins. Enjoy through 2022.",Eastside Road Neighbors,95,52.0,California,Russian River Valley,Sonoma,Williams Selyem,Pinot Noir
@vboone,US,Carol Shelton 2013 King Ridge Vineyard Reserve Cabernet Sauvignon (Sonoma Coast),"There's something overripe and flat about this wine, which conveys a mix of Dr Pepper, chocolate and vanilla that doesn't impress.",King Ridge Vineyard Reserve,83,40.0,California,Sonoma Coast,Sonoma,Carol Shelton,Pinot Noir
@paulgwine ,US,St. Innocent 2013 Freedom Hill Vineyard Dijon Clone Chardonnay (Willamette Valley),"Dijon-clone Chardonnays from Oregon are distinctive and appealing, with excellent acidity behind fruit that stays on the lean side of tropical. Here are lightly buttery flavors of apple and peach pie, with a spicy kick to the finish.",Freedom Hill Vineyard Dijon Clone,92,26.0,Oregon,Willamette Valley,Willamette Valley,St. Innocent,Pinot Noir
@gordone_cellars,US,Cuda Ridge Wines 2013 Reserve Malbec (Livermore Valley),"This wine tastes concentrated and powerful, from the first whiff of spicy cedar and black pepper to the smoky, dried fruit flavors and mouth-coating texture. It owes its savory, smoky character to its exceptionally long 30-month oak ageing. Yet while bold and assertive, its alcohol is restrained.",Reserve,90,55.0,California,Livermore Valley,Central Coast,Cuda Ridge Wines,Pinot Noir
@wawinereport,US,Soos Creek 2013 Ciel du Cheval Vineyard Red (Red Mountain),"Cabernet Sauvignon makes up 60% of this wine, with the rest Merlot (29%) and Cabernet Franc. It presents aromas of macerated cherries, licorice and whiffs of game. The flavors are lush and ripe, with firm but well-integrated tannins providing support.",Ciel du Cheval Vineyard,89,40.0,Washington,Red Mountain,Columbia Valley,Soos Creek,Syrah
@vboone,US,Williams Selyem 2014 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),"From an organic, dry farmed vineyard, this wine is as feral as the forest—a study in wild boar, wildflowers and dried herbs. Bright acidity buoys that meaty quality in the form of tart rhubarb and strawberry tea flavors. Floral on the nose and palate, it's spicy too, with bold seasonings of clove and pepper.",Precious Mountain Vineyard,95,95.0,California,Sonoma Coast,Sonoma,Williams Selyem,Pinot Noir
@paulgwine ,US,Balboa 2008 Mirage Vineyard Merlot (Columbia Valley (WA)),"Some sweetness is immediately apparent in the fruit, which seems to be a juicy blend of cherry, berry and hints of prune. Forward and open, this offers single-vineyard fruit flavor at a budget wine price. Nice winemaking; not for the cellar, but a lovely bottle to drink right now.",Mirage Vineyard,88,18.0,Washington,Columbia Valley (WA),Columbia Valley,Balboa,Merlot
@paulgwine ,US,Van Duzer 2008 Dijon Blocks Pinot Noir (Willamette Valley),"Leather and dust, with thin raspberry fruit that is pretty well buried under the barnyard flavors.",Dijon Blocks,81,45.0,Oregon,Willamette Valley,Willamette Valley,Van Duzer,Pinot Noir
@wawinereport,US,Armstrong Family 2013 Four Birds Red (Columbia Valley (WA)),"Merlot makes up nearly two-thirds of this blend with the balance Cabernet Franc. Brooding dried herb, cocoa and dark fruit aromas lead to rich but well-balanced black-fruit flavors backed by a firm core of tannins.",Four Birds,90,25.0,Washington,Columbia Valley (WA),Columbia Valley,Armstrong Family,Bordeaux-style Red Blend
@vboone,US,Cedarville Vineyard 2008 Estate Cabernet Sauvignon (El Dorado),"This is a very fairly priced Cabernet given its quality. It's made from 100% Cab and all estate grown in the high elevations of Fair Play in El Dorado County. Oaky and smoky, it whispers of mountain fruit, with herb, cassis and blackberry highlights amid a background of savory earth. Age 3–5 years.",Estate,88,29.0,California,El Dorado,Sierra Foothills,Cedarville Vineyard,Cabernet Sauvignon
